Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s)),Q_beta- WS4 (keV),Q_beta- WS4+RBF (keV),Pairing Term,Predicted Half-Life (log(s)),Uncertainty (std dev),Lower CI (95%),Upper CI (95%)
50.0,19.0,50K,0.472,1.0,-0.3260580013659122,14320.4,14237.6,-1,-1.1071153,0.3814613,-1.8547795,-0.35945112
50.0,20.0,50Ca,13.45,1.0,1.1287222843384268,4310.5,4397.599999999999,1,1.196815,0.6232525,-0.024759889,2.4183898
50.0,21.0,50Sc,102.5,1.0,2.010723865391773,7059.9000000000015,7237.200000000004,-1,1.6955597,0.79207015,0.14310217,3.2480173
51.0,19.0,51K,0.365,1.0,-0.4377071355435253,13225.700000000004,13166.799999999996,0,-1.2899582,0.39860785,-2.0712297,-0.50868684
51.0,20.0,51Ca,10.0,1.0,1.0,7748.5999999999985,7939.4000000000015,0,0.3124717,0.47872016,-0.62581986,1.2507632
51.0,21.0,51Sc,12.4,1.0,1.0934216851622351,5708.799999999996,5857.400000000009,0,1.4222856,0.698995,0.052255392,2.7923157
51.0,22.0,51Ti,345.6,1.0,2.538573733806856,2554.9000000000087,2711.5,0,3.7939222,1.1355795,1.5681863,6.019658
52.0,19.0,52K,0.11,1.0,-0.958607314841775,17496.499999999996,17615.899999999998,-1,-1.5274136,0.42848068,-2.3672357,-0.68759143
52.0,20.0,52Ca,4.6,1.0,0.6627578316815741,6369.700000000004,6187.200000000004,1,0.05114454,0.44242054,-0.81599975,0.9182888
52.0,21.0,52Sc,8.2,1.0,0.9138138523837168,9272.1,9611.599999999991,-1,0.46000057,0.52347505,-0.56601053,1.4860117
52.0,22.0,52Ti,102.0,1.0,2.008600171761917,1171.5999999999983,1450.2000000000044,1,4.015212,1.0844977,1.8895965,6.1408277
52.0,23.0,52V,224.58,1.0,2.3513710774980656,4362.4000000000015,4517.699999999997,-1,3.524536,1.2337713,1.106344,5.942728
53.0,19.0,53K,0.03,1.0,-1.5228787452803376,16688.5,16490.6,0,-1.7360158,0.44382554,-2.6059139,-0.8661177
53.0,20.0,53Ca,0.461,1.0,-0.3362990746103518,10557.200000000004,10749.399999999998,0,-0.7153272,0.36415467,-1.4290704,-0.001584053
53.0,21.0,53Sc,2.4,1.0,0.380211241711606,7799.999999999993,7913.600000000006,0,0.2838896,0.47382927,-0.6448158,1.212595
53.0,22.0,53Ti,32.7,1.0,1.5145477526602862,5029.100000000006,5506.699999999997,0,1.8691683,0.7968659,0.30731118,3.4310255
