Mass Number,Atomic Number,Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (s)
066,024,66Cr,0.0238,1.0,0.0238
066,025,66Mn,0.0638,1.0,0.0638
066,026,66Fe,0.467,1.0,0.467
066,027,66Co,0.194,1.0,0.194
066,028,66Ni,196560.0,1.0,196560.0
066,029,66Cu,307.2,1.0,307.2
067,025,67Mn,0.046700000000000005,1.0,0.046700000000000005
067,026,67Fe,0.394,1.0,0.394
067,027,67Co,0.329,1.0,0.329
067,028,67Ni,21.0,1.0,21.0
067,029,67Cu,222588.0,1.0,222588.0
068,025,68Mn,0.0337,1.0,0.0337
068,026,68Fe,0.188,1.0,0.188
068,028,68Ni,29.0,1.0,29.0
068,029,68Cu,30.9,1.0,30.9
069,025,69Mn,0.0221,1.0,0.0221
069,026,69Fe,0.162,1.0,0.162
069,028,69Ni,11.4,1.0,11.4
069,029,69Cu,171.0,1.0,171.0
069,030,69Zn,3384.0,1.0,3384.0
070,025,70Mn,0.019899999999999998,1.0,0.019899999999999998
070,026,70Fe,0.0614,1.0,0.0614
070,028,70Ni,6.0,1.0,6.0
070,029,70Cu,44.5,1.0,44.5
070,031,70Ga,1268.4,0.9959,1273.6218495832916
071,026,71Fe,0.0343,1.0,0.0343
071,027,71Co,0.08,1.0,0.08
071,028,71Ni,2.56,1.0,2.56
071,029,71Cu,19.4,1.0,19.4
071,030,71Zn,144.0,1.0,144.0
072,026,72Fe,0.017,1.0,0.017
072,028,72Ni,1.57,1.0,1.57
072,029,72Cu,6.63,1.0,6.63
072,030,72Zn,167400.0,1.0,167400.0
072,031,72Ga,50490.0,1.0,50490.0
073,026,73Fe,0.0129,1.0,0.0129
073,027,73Co,0.042,1.0,0.042
073,028,73Ni,0.84,1.0,0.84
073,029,73Cu,4.2,1.0,4.2
073,030,73Zn,24.5,1.0,24.5
073,031,73Ga,17496.0,1.0,17496.0
074,026,74Fe,0.005,1.0,0.005
074,027,74Co,0.0313,1.0,0.0313
074,028,74Ni,0.5077,1.0,0.5077
074,029,74Cu,1.606,1.0,1.606
074,030,74Zn,95.6,1.0,95.6
074,031,74Ga,487.19999999999993,1.0,487.19999999999993
074,033,74As,1535328.0,0.34,4515670.5882352935
075,027,75Co,0.0265,1.0,0.0265
075,028,75Ni,0.3316,1.0,0.3316
075,029,75Cu,1.224,1.0,1.224
075,030,75Zn,10.2,1.0,10.2
075,031,75Ga,126.0,1.0,126.0
075,032,75Ge,4966.8,1.0,4966.8
076,028,76Ni,0.2346,1.0,0.2346
076,029,76Cu,0.6377,1.0,0.6377
076,030,76Zn,5.7,1.0,5.7
076,031,76Ga,30.6,1.0,30.6
076,032,76Ge,59327020880.0,1.0,59327020880.0
076,033,76As,94461.12,1.0,94461.12
077,027,77Co,0.015,1.0,0.015
077,028,77Ni,0.1589,1.0,0.1589
077,029,77Cu,0.4703,1.0,0.4703
077,030,77Zn,2.08,1.0,2.08
077,031,77Ga,13.2,1.0,13.2
077,032,77Ge,40359.6,1.0,40359.6
077,033,77As,139644.0,1.0,139644.0
078,028,78Ni,0.1222,1.0,0.1222
078,029,78Cu,0.3307,1.0,0.3307
078,030,78Zn,1.47,1.0,1.47
078,031,78Ga,5.09,1.0,5.09
078,032,78Ge,5280.0,1.0,5280.0
078,033,78As,5442.0,1.0,5442.0
079,028,79Ni,0.044,1.0,0.044
079,029,79Cu,0.24130000000000001,1.0,0.24130000000000001
079,030,79Zn,0.746,1.0,0.746
079,031,79Ga,2.848,1.0,2.848
079,032,79Ge,18.98,1.0,18.98
079,033,79As,540.6,1.0,540.6
079,034,79Se,10319114802000.0,1.0,10319114802000.0
080,028,80Ni,0.03,1.0,0.03
080,029,80Cu,0.1133,1.0,0.1133
080,030,80Zn,0.5622,1.0,0.5622
080,032,80Ge,29.5,1.0,29.5
080,033,80As,15.2,1.0,15.2
080,035,80Br,1060.8,0.917,1156.8157033805887
081,029,81Cu,0.0732,1.0,0.0732
081,030,81Zn,0.2994,1.0,0.2994
081,031,81Ga,1.217,1.0,1.217
081,032,81Ge,9.0,1.0,9.0
081,033,81As,33.3,1.0,33.3
081,034,81Se,1107.0,1.0,1107.0
082,029,82Cu,0.034,1.0,0.034
082,030,82Zn,0.1779,1.0,0.1779
082,031,82Ga,0.6,1.0,0.6
082,032,82Ge,4.31,1.0,4.31
082,033,82As,19.1,1.0,19.1
082,034,82Se,2.7643867176e+18,1.0,2.7643867176e+18
082,035,82Br,127015.19999999998,1.0,127015.19999999998
083,030,83Zn,0.1,1.0,0.1
083,031,83Ga,0.31,1.0,0.31
083,032,83Ge,1.85,1.0,1.85
083,033,83As,13.4,1.0,13.4
083,034,83Se,1335.0,1.0,1335.0
083,035,83Br,8546.4,1.0,8546.4
084,030,84Zn,0.054,1.0,0.054
084,031,84Ga,0.09759999999999999,1.0,0.09759999999999999
084,032,84Ge,0.9510000000000001,1.0,0.9510000000000001
084,033,84As,3.16,1.0,3.16
084,034,84Se,195.6,1.0,195.6
084,035,84Br,1905.6000000000001,1.0,1905.6000000000001
084,037,84Rb,2835648.0,0.039,72708923.07692307
085,031,85Ga,0.0953,1.0,0.0953
085,032,85Ge,0.495,1.0,0.495
085,033,85As,2.022,1.0,2.022
085,034,85Se,32.9,1.0,32.9
085,035,85Br,174.0,1.0,174.0
085,036,85Kr,338542702.128,1.0,338542702.128
086,031,86Ga,0.049,1.0,0.049
086,032,86Ge,0.2216,1.0,0.2216
086,033,86As,0.9450000000000001,1.0,0.9450000000000001
086,034,86Se,14.3,1.0,14.3
086,035,86Br,55.1,1.0,55.1
087,031,87Ga,0.029,1.0,0.029
087,032,87Ge,0.10300000000000001,1.0,0.10300000000000001
087,033,87As,0.492,1.0,0.492
087,034,87Se,5.5,1.0,5.5
087,035,87Br,55.68,1.0,55.68
087,036,87Kr,4578.0,1.0,4578.0
087,037,87Rb,1.5683792222e+18,1.0,1.5683792222e+18
088,032,88Ge,0.061,1.0,0.061
088,033,88As,0.27,1.0,0.27
088,034,88Se,1.53,1.0,1.53
088,035,88Br,16.34,1.0,16.34
088,036,88Kr,10170.0,1.0,10170.0
088,037,88Rb,1066.8000000000002,1.0,1066.8000000000002
089,034,89Se,0.43,1.0,0.43
089,035,89Br,4.357,1.0,4.357
089,036,89Kr,189.0,1.0,189.0
089,037,89Rb,919.2,1.0,919.2
089,038,89Sr,4368643.2,1.0,4368643.2
090,034,90Se,0.21,1.0,0.21
090,035,90Br,1.91,1.0,1.91
090,036,90Kr,32.32,1.0,32.32
090,037,90Rb,158.0,1.0,158.0
090,038,90Sr,912310730.66,1.0,912310730.66
090,039,90Y,230580.0,1.0,230580.0
091,034,91Se,0.27,1.0,0.27
091,035,91Br,0.543,1.0,0.543
091,036,91Kr,8.57,1.0,8.57
091,037,91Rb,58.2,1.0,58.2
091,038,91Sr,34740.0,1.0,34740.0
091,039,91Y,5055264.0,1.0,5055264.0
092,035,92Br,0.314,1.0,0.314
092,036,92Kr,1.84,1.0,1.84
092,037,92Rb,4.48,1.0,4.48
092,038,92Sr,9399.6,1.0,9399.6
092,039,92Y,12744.0,1.0,12744.0
093,035,93Br,0.152,1.0,0.152
093,036,93Kr,1.287,1.0,1.287
093,037,93Rb,5.84,1.0,5.84
093,038,93Sr,445.79999999999995,1.0,445.79999999999995
093,039,93Y,36648.0,1.0,36648.0
093,040,93Zr,50806650860000.0,1.0,50806650860000.0
094,035,94Br,0.07,1.0,0.07
094,036,94Kr,0.212,1.0,0.212
094,037,94Rb,2.702,1.0,2.702
094,038,94Sr,75.3,1.0,75.3
094,039,94Y,1122.0,1.0,1122.0
094,041,94Nb,643761290400.0,1.0,643761290400.0
095,036,95Kr,0.114,1.0,0.114
095,037,95Rb,0.3777,1.0,0.3777
095,038,95Sr,23.9,1.0,23.9
095,039,95Y,618.0,1.0,618.0
095,040,95Zr,5532364.8,1.0,5532364.8
095,041,95Nb,3023222.4,1.0,3023222.4
096,036,96Kr,0.08,1.0,0.08
096,038,96Sr,1.059,1.0,1.059
096,039,96Y,5.34,1.0,5.34
096,040,96Zr,7.384320684e+17,1.0,7.384320684e+17
096,041,96Nb,84060.0,1.0,84060.0
097,036,97Kr,0.062200000000000005,1.0,0.062200000000000005
097,037,97Rb,0.1691,1.0,0.1691
097,038,97Sr,0.432,1.0,0.432
097,039,97Y,3.75,1.0,3.75
097,040,97Zr,60296.399999999994,1.0,60296.399999999994
097,041,97Nb,4326.0,1.0,4326.0
098,036,98Kr,0.0428,1.0,0.0428
098,037,98Rb,0.115,1.0,0.115
098,038,98Sr,0.653,1.0,0.653
098,039,98Y,0.548,1.0,0.548
098,040,98Zr,30.7,1.0,30.7
098,041,98Nb,2.86,1.0,2.86
098,043,98Tc,132539089200000.0,1.0,132539089200000.0
099,036,99Kr,0.04,1.0,0.04
099,037,99Rb,0.054,1.0,0.054
099,038,99Sr,0.2692,1.0,0.2692
099,039,99Y,1.484,1.0,1.484
099,040,99Zr,2.1,1.0,2.1
099,041,99Nb,15.0,1.0,15.0
099,042,99Mo,237355.2,1.0,237355.2
099,043,99Tc,6661667078600.0,1.0,6661667078600.0
100,036,100Kr,0.012,1.0,0.012
100,037,100Rb,0.0513,1.0,0.0513
100,038,100Sr,0.2021,1.0,0.2021
100,039,100Y,0.9400000000000001,1.0,0.9400000000000001
100,040,100Zr,7.1,1.0,7.1
100,041,100Nb,1.5,1.0,1.5
100,042,100Mo,2.2310746682e+17,1.0,2.2310746682e+17
101,037,101Rb,0.0318,1.0,0.0318
101,038,101Sr,0.11370000000000001,1.0,0.11370000000000001
101,039,101Y,0.426,1.0,0.426
101,040,101Zr,2.29,1.0,2.29
101,041,101Nb,7.1,1.0,7.1
101,042,101Mo,876.5999999999999,1.0,876.5999999999999
101,043,101Tc,853.2,1.0,853.2
102,037,102Rb,0.037,1.0,0.037
102,038,102Sr,0.069,1.0,0.069
102,040,102Zr,2.01,1.0,2.01
102,041,102Nb,4.3,1.0,4.3
102,042,102Mo,678.0,1.0,678.0
102,045,102Rh,17884800.0,0.22,81294545.45454545
103,037,103Rb,0.026000000000000002,1.0,0.026000000000000002
103,038,103Sr,0.053,1.0,0.053
103,039,103Y,0.23900000000000002,1.0,0.23900000000000002
103,040,103Zr,1.38,1.0,1.38
103,041,103Nb,1.34,1.0,1.34
103,042,103Mo,67.5,1.0,67.5
103,043,103Tc,54.2,1.0,54.2
103,044,103Ru,3390768.0,1.0,3390768.0
104,038,104Sr,0.0506,1.0,0.0506
104,039,104Y,0.197,1.0,0.197
104,040,104Zr,0.92,1.0,0.92
104,042,104Mo,60.0,1.0,60.0
104,043,104Tc,1098.0,1.0,1098.0
104,045,104Rh,42.3,0.9954999999999999,42.491210447011554
105,038,105Sr,0.039,1.0,0.039
105,039,105Y,0.095,1.0,0.095
105,040,105Zr,0.67,1.0,0.67
105,041,105Nb,2.91,1.0,2.91
105,042,105Mo,36.3,1.0,36.3
105,043,105Tc,458.4,1.0,458.4
105,044,105Ru,15980.4,1.0,15980.4
105,045,105Rh,127227.6,1.0,127227.6
106,038,106Sr,0.021,1.0,0.021
106,039,106Y,0.075,1.0,0.075
106,040,106Zr,0.179,1.0,0.179
106,041,106Nb,0.9,1.0,0.9
106,042,106Mo,8.73,1.0,8.73
106,043,106Tc,35.6,1.0,35.6
106,044,106Ru,32123520.0,1.0,32123520.0
106,045,106Rh,30.07,1.0,30.07
107,039,107Y,0.0335,1.0,0.0335
107,040,107Zr,0.1457,1.0,0.1457
107,041,107Nb,0.28600000000000003,1.0,0.28600000000000003
107,042,107Mo,3.5,1.0,3.5
107,043,107Tc,21.2,1.0,21.2
107,044,107Ru,225.0,1.0,225.0
