Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s))
78,30,78Zn,1.47,1.0,0.1673173347481761
78,31,78Ga,5.09,1.0,0.7067177823367587
78,32,78Ge,5280.0,1.0,3.722633922533812
78,33,78As,5442.0,1.0,3.735758537443739
79,28,79Ni,0.044,1.0,-1.3565473235138126
79,29,79Cu,0.2413,1.0,-0.6174426780912142
79,30,79Zn,0.746,1.0,-0.12726117252733118
79,31,79Ga,2.848,1.0,0.45453998496481873
79,32,79Ge,18.98,1.0,1.2782962080912739
79,33,79As,540.6,1.0,2.7328760413627067
79,34,79Se,10319114802000.0,1.0,13.013642444084288
80,28,80Ni,0.03,1.0,-1.5228787452803376
80,29,80Cu,0.1133,1.0,-0.9457700901366027
80,30,80Zn,0.5622,1.0,-0.2501091587285781
80,32,80Ge,29.5,1.0,1.469822015978163
80,33,80As,15.2,1.0,1.1818435879447726
80,35,80Br,1060.8,0.917,3.063264175390677
81,29,81Cu,0.0732,1.0,-1.1354889189416082
81,30,81Zn,0.2994,1.0,-0.5237482039929664
81,31,81Ga,1.217,1.0,0.08529057823006503
81,32,81Ge,9.0,1.0,0.9542425094393249
81,33,81As,33.3,1.0,1.5224442335063197
81,34,81Se,1107.0,1.0,3.044147620878723
82,29,82Cu,0.034,1.0,-1.4685210829577449
82,30,82Zn,0.1779,1.0,-0.7498240519160749
82,31,82Ga,0.6,1.0,-0.22184874961635637
82,32,82Ge,4.31,1.0,0.6344772701607315
82,33,82As,19.1,1.0,1.2810333672477277
82,34,82Se,2.7643867176e+18,1.0,18.441598797592082
82,35,82Br,127015.19999999998,1.0,5.103855696397842
83,30,83Zn,0.1,1.0,-1.0
83,31,83Ga,0.31,1.0,-0.5086383061657274
83,32,83Ge,1.85,1.0,0.26717172840301384
83,33,83As,13.4,1.0,1.1271047983648077
83,34,83Se,1335.0,1.0,3.125481265700594
83,35,83Br,8546.4,1.0,3.9317832153858596
84,30,84Zn,0.054,1.0,-1.2676062401770316
84,31,84Ga,0.0975999999999999,1.0,-1.0105501823333087
84,32,84Ge,0.951,1.0,-0.02181948306258609
84,33,84As,3.16,1.0,0.49968708261840383
84,34,84Se,195.6,1.0,2.291368850451583
84,35,84Br,1905.6,1.0,3.2800317441387024
84,37,84Rb,2835648.0,0.039,7.861587712169468
85,31,85Ga,0.0953,1.0,-1.0209070993616736
85,32,85Ge,0.495,1.0,-0.3053948010664313
85,33,85As,2.022,1.0,0.30578115125498223
85,34,85Se,32.9,1.0,1.5171958979499742
85,35,85Br,174.0,1.0,2.2405492482826
85,36,85Kr,338542702.128,1.0,8.529613456267544
86,31,86Ga,0.049,1.0,-1.3098039199714864
86,32,86Ge,0.2216,1.0,-0.6544302439436078
86,33,86As,0.945,1.0,-0.024568191490737076
86,34,86Se,14.3,1.0,1.1553360374650619
86,35,86Br,55.1,1.0,1.7411515988517852
87,31,87Ga,0.029,1.0,-1.537602002101044
87,32,87Ge,0.103,1.0,-0.9871627752948278
87,33,87As,0.492,1.0,-0.30803489723263966
87,34,87Se,5.5,1.0,0.7403626894942439
87,35,87Br,55.68,1.0,1.7456992266025058
87,36,87Kr,4578.0,1.0,3.660675788338524
