Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s))
213,81,213Tl,23.8,1.0,1.376576957056512
213,82,213Pb,612.0,1.0,2.7867514221455614
213,83,213Bi,2736.0,0.9791,3.4462890424805996
214,81,214Tl,11.0,1.0,1.0413926851582251
214,82,214Pb,1623.6,1.0,3.2104790426452476
214,83,214Bi,1194.0,0.99979,3.077095538212084
215,81,215Tl,9.7,1.0,0.9867717342662449
215,82,215Pb,142.0,1.0,2.1522883443830567
215,83,215Bi,457.2,1.0,2.660106221723244
215,84,215Po,0.001781,0.023,-1.1110639165543497
216,81,216Tl,5.9,1.0,0.7708520116421442
216,82,216Pb,99.6,1.0,1.9982593384236986
217,82,217Pb,19.9,1.0,1.2988530764097066
217,83,217Bi,98.5,1.0,1.9934362304976116
217,84,217Po,1.53,0.025,1.7867514221455612
217,85,217At,0.0326,8e-05,2.6101276130759956
218,82,218Pb,14.8,1.0,1.1702617153949575
218,83,218Bi,33.0,1.0,1.5185139398778875
218,84,218Po,185.82,0.0002,5.96806246007645
219,83,219Bi,8.7,1.0,0.9395192526186185
219,84,219Po,618.0,0.718,2.9348640308465157
219,85,219At,56.0,0.064,2.942008053022313
220,83,220Bi,9.5,1.0,0.9777236052888478
220,85,220At,222.6,0.92,2.3837373326531344
220,87,220Fr,27.4,0.0034999999999999,3.8936825184701123
221,84,221Po,132.0,1.0,2.12057393120585
221,85,221At,138.0,1.0,2.1398790864012365
221,86,221Rn,1542.0,0.78,3.2959897710244577
221,87,221Fr,288.06,4.8e-05,6.778241718977222
222,84,222Po,546.0,1.0,2.7371926427047373
222,85,222At,54.0,1.0,1.7323937598229686
222,87,222Fr,852.0,1.0,2.9304395947667
223,86,223Rn,1458.0,1.0,3.163757523981956
224,85,224At,150.0,1.0,2.1760912590556813
224,86,224Rn,6420.0,1.0,3.807535028068853
224,87,224Fr,199.8,1.0,2.3005954838899636
225,86,225Rn,279.6,1.0,2.446537167073644
225,87,225Fr,237.0,1.0,2.374748346010104
225,88,225Ra,1280448.0,1.0,6.107361946122203
226,86,226Rn,444.0,1.0,2.6473829701146196
226,87,226Fr,48.5,1.0,1.6857417386022637
226,89,226Ac,105732.0,0.83,5.105128354914013
227,86,227Rn,20.2,1.0,1.3053513694466239
227,87,227Fr,148.20000000000002,1.0,2.1708482036433097
227,88,227Ra,2532.0,1.0,3.4034637013453177
227,89,227Ac,687057392.872,0.9862,8.84302801887392
228,86,228Rn,65.0,1.0,1.8129133566428557
228,87,228Fr,38.0,1.0,1.5797835966168101
228,88,228Ra,181452324.5,1.0,8.258762536113633
228,89,228Ac,22140.0,1.0,4.345177616542704
229,86,229Rn,11.9,1.0,1.0755469613925308
229,87,229Fr,50.2,1.0,1.7007037171450194
229,88,229Ra,240.0,1.0,2.380211241711606
229,89,229Ac,3762.0,1.0,3.5754187912143602
230,87,230Fr,19.1,1.0,1.2810333672477277
230,88,230Ra,5580.0,1.0,3.7466341989375787
230,89,230Ac,122.0,1.0,2.0863598306747484
230,91,230Pa,1503359.9999999998,0.078,7.284968388071013
231,87,231Fr,17.6,1.0,1.24551266781415
231,88,231Ra,104.0,1.0,2.0170333392987803
231,89,231Ac,450.0,1.0,2.6532125137753435
231,90,231Th,91872.0,1.0,4.9631831708164125
232,87,232Fr,5.5,1.0,0.7403626894942439
232,88,232Ra,240.0,1.0,2.380211241711606
232,89,232Ac,118.8,1.0,2.074816440645175
233,87,233Fr,0.9,1.0,-0.045757490560675115
233,88,233Ra,30.0,1.0,1.4771212547196624
233,89,233Ac,143.0,1.0,2.155336037465062
233,90,233Th,1309.8,1.0,3.1172049860927826
233,91,233Pa,2330640.0,1.0,6.367475195833841
234,88,234Ra,30.0,1.0,1.4771212547196624
234,89,234Ac,45.0,1.0,1.6532125137753437
234,90,234Th,2082844.8,1.0,6.318656910363144
234,91,234Pa,24120.0,1.0,4.382377303468114
235,89,235Ac,62.0,1.0,1.792391689498254
235,90,235Th,432.0,1.0,2.635483746814912
235,91,235Pa,1464.0,1.0,3.165541076722373
236,89,236Ac,270.0,1.0,2.4313637641589874
236,90,236Th,2238.0,1.0,3.3498600821923312
236,91,236Pa,546.0,1.0,2.7371926427047373
237,90,237Th,288.0,1.0,2.459392487759231
237,91,237Pa,522.0,1.0,2.717670503002262
237,92,237U,583372.7999999999,1.0,5.765946176096492
238,90,238Th,564.0,1.0,2.751279103983342
238,91,238Pa,136.79999999999998,1.0,2.1360860973840974
238,92,238U,1.40838560738e+17,0.022,18.806298897442325
238,93,238Np,181353.6,1.0,5.258526181061294
239,91,239Pa,6480.0,1.0,3.8115750058705933
239,92,239U,1407.0,1.0,3.1482940974347455
239,93,239Np,203558.4,1.0,5.308689028593958
240,92,240U,50760.0,1.0,4.705521613422667
241,93,241Np,834.0,1.0,2.921166050637739
242,92,242U,1008.0,1.0,3.0034605321095067
242,95,242Am,57672.0,0.8270000000000001,4.8434595029629595
243,93,243Np,111.0,1.0,2.0453229787866576
243,94,243Pu,17839.08,1.0,4.2513724531103945
244,93,244Np,137.4,1.0,2.137986732723532
244,95,244Am,36036.0,1.0,4.556736578246606
245,94,245Pu,37800.0,1.0,4.577491799837225
245,95,245Am,7379.999999999999,1.0,3.8680563618230415
246,94,246Pu,936576.0,1.0,5.971543024681261
246,95,246Am,2340.0,1.0,3.369215857410143
247,94,247Pu,196128.0,1.0,5.292539599672016
247,95,247Am,1380.0,1.0,3.1398790864012365
249,96,249Cm,3849.000000000001,1.0,3.585347911094591
250,97,250Bk,11563.2,1.0,4.063078037373931
251,96,251Cm,1008.0,1.0,3.0034605321095067
251,97,251Bk,3336.0,1.0,3.5232260419657013
253,98,253Cf,1538784.0,0.9969,6.188526065943764
254,99,254Es,23820480.0,0.0174,9.136401260302067
255,98,255Cf,5100.0,1.0,3.7075701760979363
255,99,255Es,3438719.9999999995,0.92,6.572608987207026
257,99,257Es,665280.0,1.0,5.8230044676513755
